NPs,Capping,Core_size,DLS_size,Zeta_potential,Shape,MIC,Class,Family,Species
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,32,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,16,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,128,Bacilli,Streptococcaceae,Streptococcus mutans
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
