NPs,Capping,Core_size,DLS_size,Zeta_potential,Shape,MBC,Class,Family,Species
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,128,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,128,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans
Au,Uncapped,23.5,109,-18.4,spherical,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Uncapped,23.5,109,-18.4,spherical,32,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Uncapped,11.5,32,23,spherical,64,Gammaproteobacteria,Moraxellaceae,Escherichia coli 
Au,Uncapped,35,47,12,spherical,64,Gammaproteobacteria,Pseudomonadaceae,Escherichia coli 
TiO2,Capped,30,69,-33,spherical,32,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
